code,name,address,postal_code,lat,lng
CU,Cumberland House,33  St. George Street,M5S 2E3,43.65946115,-79.3959303031628
PT,D.L. Pratt Building,6  King's College Road,M5S 3H5,43.659632099999996,-79.39481420142133
DA,Daniels Building,1  Spadina Crescent,M5S 2J5,43.659662100000006,-79.40072325608062
DN,Dentistry Building,124  Edward Street,M5G 1G6,43.6562982,-79.38706267941706
PR,E.J. Pratt Library,71  Queen's Park Crescent East,M5S 1K7,43.6663386,-79.39129888347966
ER,Early Learning Centre,7  Glen Morris Street,M5S 1H9,43.663927,-79.40118068763718
ES,Earth Sciences Centre,33  Willcocks Street,M5S 3B3,43.6612784,-79.4002896
EJ,Edward Johnson Building,80  Queen's Park,M5S 2C5,43.6665041,-79.3945216
ED,Edward Street-123,123 Edward Street,,43.6557636,-79.3864328
EL,Electrometallurgy Lab,11  King's College Road (rear),M5S 3J2,43.6596098,-79.39542291246241
EH,Elmsley Hall,81  St. Mary Street,M5S 1J4,43.666680150000005,-79.39042076336014
EM,Emmanuel College,75  Queen's Park,M5S 1K7,43.6667268,-79.39275289827965
EA,Engineering Annex,11  King's College Road,M5S 1A4,43.6596098,-79.39542291246241
AD,Enrolment Services,172 St. George Street,M5R 0A3,43.66810075,-79.40047125000001
EX,Exam Centre,255  McCaul Street,M5T 1W7,43.6584058,-79.39280462300087
SK,Factor-Inwentash Faculty of Social Work,246  Bloor Street West,M5S 1V4,43.6681371,-79.3976093
FC,Faculty Club,41  Willcocks Street,M5S 1C7,43.6612066,-79.40054522772277
LW,Faculty of Law,78  Queen's Park,M5S 2C5,43.66576765,-79.3943120490978
FH,Falconer Hall,84  Queen's Park,M5S 2C5,43.66671325,-79.39393069084927
LG,Fasken Martineau Building,655  Spadina Avenue,M5S 2H9,43.664083950000006,-79.40207759598907
FI,Fields Inst for Research in Math Science,222  College Street,M5T 3J1,43.65879595,-79.39755040601011
FS,Fisher House,59  Queen's Park Crescent East,M5S 2C4,43.6656421,-79.39107357354543
FG,FitzGerald Building,150  College Street,M5S 1A8,43.6600811,-79.39238161490331
BH,Founders House,1  Elmsley Place,,43.6655197,-79.38930314303498
GA,Gage Building,223  College Street,M5T 1R4,43.65820815,-79.39717242279082
GB,Galbraith Building,35  St. George Street,M5S 1A4,43.659936099999996,-79.39623856288551
GI,George Ignatieff Theatre,15  Devonshire Place,M5S 1H8,43.6656637,-79.3970837
LA,Gerald Larkin Building,15  Devonshire Place,M5S 1H8,43.6656637,-79.3970837
SM,Gerstein Science Information Centre in the Sigmund Samuel Library Bldg,7 and 9 King's College Circle,M5S 3K1,43.6622339,-79.3961543
GH,Gilson House,8  Elmsley Place,,43.66574725,-79.3898155
GO,Goldring Centre for High Performance Sport,100 Devonshire Place,,43.66697685,-79.39838507196065
GC,Goldring Student Centre,150  Charles Street West,M5S 1K9,43.6676852,-79.3925309
GD,Graduate House,60  Harbord Street,M5S 3L1,43.6636217,-79.40158795868842
GU,Graduate Students' Union,16  Bancroft Avenue,M5S 1C1,43.6608149,-79.40030914867461
HH,Hart House,7  Hart House Circle,M5S 3H3,43.66393395,-79.39397462870217
HA,Haultain Building,170  College Street (rear of),M5S 3E3,43.6599224,-79.39363795
HS,Health Sciences Building,155  College Street,M5T 1P8,43.659081400000005,-79.39276345116266
HU,Huron Street-215,215  Huron Street,M5S 1A2,43.6591951,-79.3982197498318
CA,Huron Street-370,370  Huron Street,M5S 2G4,43.66448765,-79.400784764486
IN,Innis College,2  Sussex Avenue,M5S 1J5,43.665640100000005,-79.39953392970232
IS,Innis College Student Residence,111  St. George Street,M5S 2E8,43.6656509,-79.3987776
BT,Isabel Bader Theatre,93  Charles St. West,M5S 1K9,43.66727135,-79.39236404756655
KL,J. M. Kelly Library,113  St. Joseph Street,M5S 1J4,43.664910250000005,-79.38953269961966
DR,J. Robert S. Prichard Alumni House,21  King's College Circle,M5S 3J3,43.6621136,-79.3969133
JH,Jackman Humanities Building,170  St. George Street,M5R 2M8,43.667546,-79.4004963
RL,John P. Robarts Library Building,130  St. George Street,M5S 1A5,43.6644311,-79.3994763817351
KX,Knox College,59  St. George Street,M5S 2E6,43.661428799999996,-79.39642657308804
KP,Koffler House,569  Spadina Crescent,M5S 2J7,43.6593993,-79.4014683
KS,Koffler Student Services Centre,214  College Street,M5T 2Z9,43.6588244,-79.3969597
LM,Lash Miller Chemical Laboratories,80  St. George Street,M5S 3H6,43.66160185,-79.39841172598216
MB,Lassonde Mining Building,170  College Street,M5S 3E3,43.6599224,-79.39363795
WR,Leighton Goldie McCarthy House (Child Study),45  Walmer Road,M5R 2X2,43.66953280487825,-79.40636226750877
PB,Leslie L. Dan Pharmacy Building,144  College Street,M5S 3M2,43.65995865,-79.39178075763303
LI,Lillian Massey Building,125 Queen's Park,M5S 2C7,43.6685176,-79.3936977
LC,Loretto College,70  St. Mary Street,M5S 1J3,43.66741565,-79.38990794295057
SO,Louis B. Stewart Observatory (UTSU),12  Hart House Circle,M5S 3J9,43.6631575,-79.39460860286114
GM,Luella Massey Studio Theatre,4  Glen Morris Street,M5S 1J1,43.6643415,-79.40113105
MM,Macdonald-Mowat House,63  St. George Street,M5S 2Z9,43.6618155,-79.39702401778518
MG,Margaret Addison Hall,140  Charles Street West,M5S 1K9,43.6680795,-79.39220948157536
MN,Maritain House,6  Elmsley Place,,43.665608500000005,-79.389763
M2,MARS 2,661 University Avenue,,43.658889,-79.389709
MA,Massey College,4  Devonshire Place,M5S 2E1,43.6649588,-79.39736752484228
GE,Max Gluskin House,150  St. George Street,M5S 3G7,43.666057499999994,-79.39955005928402
RM,McCaul Street-254/256,254-256   McCaul Street,M5T 1W5,43.6524284,-79.3906389
MZ,McCorkell House,2  Elmsley Place,,43.6654234,-79.38987888651675
MP,McLennan Physical Laboratories,255  Huron Street,M5S 1A7,43.6607675,-79.398261
MR,McMurrich Building,12  Queen's Park Crescent W,M5S 1S8,43.661281,-79.392314
MC,Mechanical Engineering Building,5  King's College Road,M5S 3G8,43.6599059,-79.394085
MS,Medical Sciences Building,1  King's College Circle,M5S 1A8,43.6606148,-79.3927209
MH,More House,59  Queen's Park Crescent East,M5S 2C4,43.6656421,-79.39107357354543
MO,Morrison Hall,75  St. George Street,M5S 2E5,43.663045249999996,-79.39748728616081
MU,Munk School of Global Affairs & Public Policy - Graham Library,5  Devonshire Place,M5S 3K7,43.66548032373055,-79.39724787611024
MK,Munk School of Global Affairs & Public Policy at the Observatory,315  Bloor Street West,M5S 1A3,43.66747095,-79.39854548529144
MU,Munk School of Global Affairs & Public Policy at Trinity,1  Devonshire Place,M5S 3K7,43.6650721,-79.3964653
MU,Munk School of Global Affairs & Public Policy at Trinity,3  Devonshire Place,M5S 3K7,43.66503066186527,-79.39706643805512
AH,Muzzo Family Alumni Hall,121  St. Joseph Street,M5S 1J4,43.664788,-79.390954
MY,Myhal Centre for Engineering Innovation and Entrepreneurship,55 St. George Street,M5S 0C9,43.6606723,-79.3965754
NR,New College III,45  Willcocks Street,M5S 1C7,43.6609752,-79.40086862805802
VI,Nona Macdonald Visitors Centre,25 King's College Circle,M5S 1A1,43.6622339,-79.3961543
NW,North West Chiller Plant,50 Sussex Avenue,M5S 1J7,43.66507915,-79.40229560821766
NF,Northrop Frye Hall,73  Queen's Park Crescent East,M5S 1K7,43.666071,-79.392004
OH,Odette (Louis) Hall,50  St. Joseph Street,M5S 1J4,43.665686,-79.387925
OA,Old Admin Bldg,263  McCaul Street,M5T 1W7,43.658641,-79.393137
OI,Ontario Institute for Studies in Education,252  Bloor Street West,M5S 1V6,43.6682116,-79.39849949589762
PH,Phelan House,3  Elmsley Place,,43.6658209,-79.38938335642547
ME,Queen's Park Crescent East-39,39  Queen's Park Crescent East,M5S 2C3,43.664276400000006,-79.39040505715298
XQ,Queen's Park Crescent East-43,43  Queen's Park Crescent East,M5S 2C3,43.66456195,-79.39056445746951
PI,Queen's Park Crescent East-59,59  Queen's Park Crescent East,M5S 2C4,43.6656421,-79.39107357354543
ML,Queen's Park Crsc. E.-39A,39A   Queen's Park Crsc. E,M5S 2C3,43.66432365,-79.38976965828527
RW,Ramsay Wright Laboratories,25  Harbord Street,M5S 3G5,43.66328025,-79.39866430954288
RG,Regis College,100 Wellesley Street West,M5S 1C5,43.664006150000006,-79.39027343125
RU,Rehabilitation Sciences Building,500  University Avenue,M5G 1V7,43.655299,-79.388858
RS,Rosebrugh Building,164  College Street,M5S 3G9,43.65996425,-79.39320592974111
RT,Rotman School of Management,105  St. George Street,M5S 3E6,43.665098,-79.3985
RJ,Rowell Jackman Hall,85  Charles Street West,M5S 1K5,43.667336,-79.39072305710607
SR,Sam Sorbara Hall Student Residence,70  St. Joseph Street,,43.6657577,-79.38899930894212
SF,Sandford Fleming Building,10  King's College Road,M5S 3G4,43.6601686,-79.3949804
CS,School of Continuing Studies,158  St. George Street,M5S 2V8,43.66671175,-79.39996885
GS,School of Graduate Studies,65  St. George Street,M5S 2E5,43.66202285,-79.39716889119774
SS,Sidney Smith Hall,100  St. George Street,M5S 3G3,43.6621213,-79.3983721
SI,Simcoe Hall,27  King's College Circle,M5S 1A1,43.6607225,-79.3958255
SD,Sir Daniel Wilson Residence,73  St. George Street,M5S 2E5,43.6624876,-79.3974636
TR,Soldiers' Tower,7  Hart House Circle,M5S 3H3,43.66393395,-79.39397462870217
TT,Spadina Ave-455,455  Spadina Avenue,M5S 2G8,43.6583017,-79.3998832
SA,Spadina Ave-713 (Demolished March 2019),713  Spadina Avenue,M5S 2J4,43.6660247,-79.40290305
XG,Spadina Avenue-665,665 Spadina Avenue,,43.6643878,-79.4023357
IA,Spadina Avenue-703,703  Spadina Avenue,M5S 2J4,43.66572465,-79.40274493845308
FA,Spadina Avenue-720,720  Spadina Avenue,M5S 2T9,43.665564,-79.403479
BS,St. Basil's Church,50  St. Joseph Street,M5S IJ4,43.665686,-79.387925
IR,St. George Street-121,121  St. George Street,M5S 2E8,43.66668275,-79.39912085266019
WA,St. George Street-123,123  St. George Street,M5S 2E8,43.66690505,-79.39920733449057
CO,St. George Street-162,162 St. George Street,,43.667075249999996,-79.40000535549333
PG,St. George Street-45,45  St. George Street,M5S 2E5,43.66037875,-79.3965267489211
HI,St. Hilda's College,44  Devonshire Place,M5S 2E2,43.665695,-79.39795600294408
SN,Stephenson House,63  Charles Street West,M5S 1K5,43.667863749999995,-79.38983319762511
EP,Stewart Building,149 College Street,M5T 1P5,43.6605402,-79.387308
SU,Student Commons (Under Renovation),230  College Street,M5T 1R2,43.6586796,-79.39813436685935
SV,Sullivan House,96  St. Joseph Street,,43.665267,-79.389706
SX,Sussex Avenue-40,40  Sussex Avenue,M5S 1J7,43.66502515,-79.40184812925226
SC,Sussex Court,21  Sussex Avenue,M5S 1J6,43.6648653,-79.4009793
TF,Teefy Hall,57  Queen's Park Crescent East,M5S 2C4,43.664986,-79.391093
DC,Terrence Donnelly Ctr for Cellular & Biomolecular Res,160  College Street,M5S 3E1,43.6603689,-79.3929934
RB,Thomas Fisher Rare Book Library Building,120  St. George Street,M5S 1A5,43.66407515,-79.39899578349056
TH,Toronto School of Theology,47  Queen's Park Crescent East,M5S 2C3,43.66475629999999,-79.39062674497268
TC,Trinity College,6  Hoskin Avenue,M5S 1H8,43.665301549999995,-79.39525214965947
KT,TWH - Krembil Discovery Tower,399 Bathurst Street,,43.653566999999995,-79.40549604487205
UC,University College,15  King's College Circle,M5S 3H7,43.66287995,-79.395181775127
UP,University College Union,79  St. George Street,M5S 2E5,43.663418300000004,-79.39750366446691
VA,Varsity Centre,299  Bloor Street West,,43.6678924,-79.3968555
VP,Varsity Pavilion,299 Bloor Street West,,43.6678924,-79.3968555
VC,Victoria College,91  Charles Street West,M5S 1K7,43.66692875,-79.39195217788848
WB,Wallberg Building,184-200   College Street,M5S 3E5,43.6605402,-79.387308
WS,Warren Stevens Building,55  Harbord Street,M5S 2W6,43.663001,-79.4012579
JP,Wellesley Street West-90,90 Wellesley Street West,M5S 1C5,43.66425525,-79.38938075088285
WE,Wetmore Hall-New College,300  Huron Street,M5S 2Z3,43.662132150000005,-79.40084036575797
WT,Whitney Hall,85  St. George Street,M5S 2E5,43.66384305,-79.39804212071806
WI,Wilson Hall-New College,40  Willcocks Street,M5S 1C6,43.6620985,-79.4011589
WN,Windle House,5  Elmsley Place,,43.6660462,-79.38945764014096
WW,Woodsworth College,119  St. George Street,M5S 1A9,43.6664023,-79.3989301
WO,Woodsworth College Residence,321  Bloor St. West,M5S 1S5,43.66729105,-79.3993657383167
WY,Wycliffe College,5  Hoskin Avenue,M5S 1H7,43.664512450000004,-79.39514104116316
